time, count
10994,5
10995,4
10996,5
10997,1
10998,1
10999,4
11000,5
11001,7
11002,4
11003,2
11004,3
11005,1
11006,6
11007,6
11008,6
11009,2
11010,5
11011,1
11012,5
11013,4
11014,2
11015,4
11016,4
11018,4
11019,1
11020,2
11021,2
11022,7
11023,5
11024,4
11025,6
11026,3
11027,5
11028,1
11029,6
11030,9
11031,6
11032,4
11033,5
11034,4
11035,4
11036,3
11037,7
11038,7
11039,8
11040,3
11041,4
11042,4
11043,4
11044,3
11045,2
11046,11
11047,4
11048,10
11049,5
11050,7
11051,14
11052,9
11053,8
11054,8
11055,15
11056,1
11057,6
11058,13
11059,11
11060,10
11061,9
11062,4
11063,8
11064,10
11065,10
11066,9
11067,10
11068,9
11069,13
11070,9
11071,4
11072,7
11073,7
11074,7
11075,11
11076,7
11077,4
11078,5
11079,13
11080,10
11081,3
11082,7
11083,6
11084,5
11085,6
11086,8
11087,10
11088,6
11089,10
11090,7
11091,3
11092,7
11093,11
11094,2
11095,3
11096,13
11097,9
11098,14
11099,8
11100,11
11101,17
11102,7
11103,1
11104,12
11105,12
11106,10
11107,8
11108,14
11109,9
11110,6
11111,10
11112,10
11113,7
11114,8
11115,6
11116,5
11117,8
11118,8
11119,10
11120,8
11121,6
11122,9
11123,5
11124,12
11125,11
11126,8
11127,6
11128,5
11129,11
11130,11
11131,7
11132,4
11133,8
11134,9
11135,4
11136,4
11137,4
11138,3
11139,8
11140,3
11141,3
11142,4
11143,2
11144,10
11145,6
11146,2
11147,5
11148,3
11149,2
11150,5
11151,3
11152,5
11153,4
11154,4
11155,5
11156,2
11157,5
11158,7
11159,5
11160,2
11161,3
11162,6
11163,4
11164,1
11165,2
11166,3
11169,4
11170,3
11171,5
11172,5
11173,2
11174,2
11175,4
11176,2
11177,3
11178,1
11179,1
11180,2
11181,4
11182,3
11183,1
11184,5
11185,2
11186,3
11187,1
11188,2
11189,2
11190,4
11191,3
11192,1
11193,2
11194,1
11195,5
11196,7
11198,1
11199,3
11200,1
11203,3
11204,3
11205,4
11206,3
11207,3
11208,3
11209,4
11210,3
11211,1
11212,4
11213,2
11214,1
11215,1
11216,3
11217,4
11218,2
11219,7
11220,13
11221,9
11222,10
11223,8
11224,7
11225,4
11226,5
11227,5
11228,6
11229,7
11230,13
11231,9
11232,12
11233,9
11234,10
11235,12
11236,6
11237,5
11238,13
11239,9
11240,12
11241,7
11242,9
11243,10
11244,13
11245,10
11246,8
11247,7
11248,12
11249,12
11250,12
11251,13
11252,14
11254,15
11255,12
11257,17
11258,16
11260,12
11261,14
11262,14
11263,1
11264,17
11265,10
11266,19
11267,12
11269,19
11270,17
11272,1
11273,14
11274,1
11276,30
11279,15
11282,19
11283,16
11285,27
11286,1
11290,1
11291,16
11292,17
11294,19
11295,10
11297,13
11298,11
11300,11
11301,10
11303,9
11304,19
11305,13
11307,8
11308,14
11309,15
11310,1
11311,11
11312,16
11314,22
11315,12
11316,1
11317,25
11318,6
11320,19
11321,13
11323,16
11324,17
11325,1
11329,15
11330,7
11331,5
11332,11
11333,9
11334,20
11336,10
11337,9
11339,16
11340,19
11342,17
11343,19
11344,7
11346,15
11347,6
11348,2
11349,24
11350,9
11352,12
11353,19
11355,22
11356,7
11358,25
11359,15
11362,26
11363,8
11365,3
11366,21
11367,18
11369,1
11370,26
11371,9
11373,2
11374,19
11375,17
11377,1
11378,17
11379,11
11380,2
11381,18
11382,18
11384,22
11385,10
11387,15
11388,13
11390,16
11391,7
11393,3
11394,20
11395,7
11397,14
11398,17
11400,19
11401,16
11403,22
11404,12
11406,10
11407,16
11408,9
11410,13
11411,11
11413,11
11414,12
11415,15
11416,12
11417,11
11418,9
11419,12
11420,16
11421,12
11422,14
11423,13
11424,1
11425,17
11426,13
11428,10
11429,12
11430,13
11431,10
11432,12
11433,10
11434,11
11435,6
11436,14
11437,14
11438,8
11439,15
11440,15
11441,10
11442,14
11443,10
11444,11
11445,3
11446,9
11447,8
11448,11
11449,7
11450,10
11451,5
11452,8
11453,14
11454,6
11455,9
11456,8
11457,5
11458,7
11459,10
11460,10
11461,4
11462,6
11463,6
11464,11
11465,9
11466,8
11467,6
11468,7
11469,11
11470,8
11471,12
11472,7
11473,7
11474,5
11475,11
11476,8
11477,7
11478,4
11479,7
11480,10
11481,10
11482,5
11483,4
11484,5
11485,8
11486,7
11487,6
11488,8
11489,11
11490,3
11491,6
11492,18
11493,11
11494,4
11495,7
11496,12
11497,9
11498,18
11500,12
11501,15
11502,14
11504,15
11505,10
11506,14
11507,13
11508,13
11509,12
11510,14
11511,7
11512,9
11513,10
11514,9
11515,15
11516,10
11517,4
11518,13
11519,17
11521,7
11522,7
11523,9
11524,5
11525,11
11526,10
11527,8
11528,8
11529,11
11530,9
11531,15
11532,10
11533,5
11534,6
11535,10
11536,7
11537,8
11538,6
11539,9
11540,9
11541,10
11542,9
11543,6
11544,11
11545,7
11546,12
11547,11
11548,14
11549,8
11550,8
11551,6
11552,12
11553,16
11554,6
11555,7
11556,15
11557,8
11558,12
11559,12
11560,10
11561,6
11562,5
11563,15
11564,10
11565,11
11566,9
11567,8
11568,9
11569,6
11570,6
11571,11
11572,9
11573,4
11574,14
11575,11
11576,8
11577,14
11578,10
11579,11
11580,11
11581,13
11582,6
11583,10
11584,8
11585,10
11586,10
11587,13
11588,8
11589,11
11590,12
11591,12
11592,13
11593,2
11594,15
11595,16
11597,20
11598,10
11600,25
11601,10
11603,16
11604,15
11606,19
11607,13
11609,12
11610,18
11612,24
11613,9
11614,1
11615,6
11616,6
11618,14
11619,9
11621,13
11622,16
11624,9
11625,18
11626,8
11627,2
11628,11
11629,4
11631,15
11632,10
11634,16
11635,20
11637,17
11638,13
11640,15
11641,11
11642,20
11643,1
11644,8
11645,16
11646,14
11648,7
11649,15
11650,8
11651,11
11652,13
11653,7
11654,11
11655,12
11656,12
11657,5
11658,7
11659,13
11660,12
11661,11
11662,14
11663,7
11664,13
11665,10
11666,8
11667,5
11668,10
11669,6
11670,12
11671,10
11672,7
11674,5
11675,13
11676,6
11677,11
11678,6
11679,11
11680,9
11681,9
11682,5
11683,8
11684,9
11685,7
11686,6
11687,7
11688,6
11689,6
11690,5
11691,12
